time /s	I /nA	E /V
0.100	-19.605	0.101
0.200	-14.169	0.101
0.300	-13.618	0.101
0.400	-18.996	0.101
0.500	-13.988	0.101
0.600	-22.083	0.101
0.700	-20.665	0.101
0.800	-15.746	0.101
0.900	-13.456	0.101
1.000	-15.212	0.101
1.100	-24.146	0.101
1.200	-21.104	0.101
1.300	-24.737	0.101
1.400	-29.211	0.101
1.500	-19.159	0.101
1.600	-18.743	0.101
1.700	-21.991	0.101
1.800	-13.114	0.101
1.900	-14.754	0.101
2.000	-26.068	0.101
2.100	-28.758	0.101
2.200	-10.688	0.101
2.300	-13.703	0.101
2.400	-25.756	0.101
2.500	-23.010	0.101
2.600	-24.313	0.101
2.700	-26.713	0.101
2.800	-23.274	0.101
2.900	-12.605	0.101
3.000	-10.817	0.101
3.100	-19.652	0.101
3.200	-15.137	0.101
3.300	0.658	0.101
3.400	-9.910	0.101
3.500	-18.814	0.101
3.600	-9.413	0.101
3.700	-27.990	0.101
3.800	-16.111	0.101
3.900	-10.629	0.101
4.000	-19.384	0.101
4.100	-34.259	0.101
4.200	-23.247	0.101
4.300	-18.102	0.101
4.400	-18.327	0.101
4.500	-22.474	0.101
4.600	-24.318	0.101
4.700	-14.308	0.101
4.800	-14.622	0.101
4.900	-14.358	0.101
5.000	-26.983	0.101
5.100	-30.795	0.101
5.200	-18.484	0.101
5.300	-10.749	0.101
5.400	-20.816	0.101
5.500	-13.149	0.101
5.600	-23.059	0.101
5.700	-23.272	0.101
5.800	-15.537	0.101
5.900	-9.516	0.101
6.000	-19.340	0.101
6.100	-25.499	0.101
6.200	-25.202	0.101
6.300	-18.655	0.101
6.400	-28.625	0.101
6.500	-20.597	0.101
6.600	-10.950	0.101
6.700	-21.533	0.101
6.800	-18.301	0.101
6.900	-18.915	0.101
7.000	-13.487	0.101
7.100	-10.761	0.101
7.200	-14.228	0.101
7.300	-17.830	0.101
7.400	-22.492	0.101
7.500	-24.803	0.101
7.600	-17.928	0.101
7.700	-25.538	0.101
7.800	-23.784	0.101
7.900	-11.104	0.101
8.000	-10.877	0.101
8.100	-20.702	0.101
8.200	-20.477	0.101
8.300	-22.065	0.101
8.400	-20.043	0.101
8.500	-20.741	0.101
8.600	-18.210	0.101
8.700	-25.289	0.101
8.800	-11.252	0.101
8.900	-16.237	0.101
9.000	-27.705	0.101
9.100	-24.706	0.101
9.200	-18.028	0.101
9.300	-16.142	0.101
9.400	-13.538	0.101
9.500	-18.542	0.101
9.600	-9.165	0.101
9.700	-23.327	0.101
9.800	-13.706	0.101
9.900	-21.498	0.101
10.000	-38.205	0.101
10.100	-7.457	0.101
10.200	-10.442	0.101
10.300	-8.592	0.101
10.400	-23.555	0.101
10.500	-20.504	0.101
10.600	-21.124	0.101
10.700	-19.252	0.101
10.800	-14.358	0.101
10.900	-9.951	0.101
11.000	-15.779	0.101
11.100	-20.947	0.101
11.200	-9.003	0.101
11.300	-14.373	0.101
11.400	-17.950	0.101
11.500	-8.373	0.101
11.600	-23.902	0.101
11.700	-23.909	0.101
11.800	-19.879	0.101
11.900	-7.105	0.101
12.000	-12.938	0.101
12.100	-9.622	0.101
12.200	-25.900	0.101
12.300	-14.953	0.101
12.400	-22.160	0.101
12.500	-19.006	0.101
12.600	-18.826	0.101
12.700	-18.473	0.101
12.800	-22.310	0.101
12.900	-10.820	0.101
13.000	-9.530	0.101
13.100	-19.566	0.101
13.200	-21.338	0.101
13.300	-22.968	0.101
13.400	-13.744	0.101
13.500	-15.310	0.101
13.600	-16.578	0.101
13.700	-12.575	0.101
13.800	-18.833	0.101
13.900	-27.779	0.101
14.000	-26.547	0.101
14.100	-18.480	0.101
14.200	-15.241	0.101
14.300	-26.874	0.101
14.400	-11.766	0.101
14.500	-16.497	0.101
14.600	-11.834	0.101
14.700	-4.825	0.101
14.800	-15.977	0.101
14.900	-19.270	0.101
15.000	-22.210	0.101
15.100	-19.353	0.101
15.200	-12.561	0.101
15.300	-16.269	0.101
15.400	-9.948	0.101
15.500	-16.478	0.101
15.600	-7.980	0.101
15.700	-19.923	0.101
15.800	-10.284	0.101
15.900	-15.830	0.101
16.000	-31.866	0.101
16.100	-26.920	0.101
16.200	-27.565	0.101
16.300	-27.412	0.101
16.400	-14.815	0.101
16.500	-2.095	0.101
16.600	-14.353	0.101
16.700	-11.170	0.101
16.800	-25.430	0.101
16.900	-36.239	0.101
17.000	-18.027	0.101
17.100	-15.468	0.101
17.200	-28.256	0.101
17.300	-16.685	0.101
17.400	-9.952	0.101
17.500	-18.346	0.101
17.600	-5.261	0.101
17.700	-23.292	0.101
17.800	-27.987	0.101
17.900	-24.048	0.101
18.000	-18.495	0.101
18.100	-19.619	0.101
18.200	-15.231	0.101
18.300	-14.904	0.101
18.400	-19.038	0.101
18.500	-14.542	0.101
18.600	-21.523	0.101
18.700	-11.937	0.101
18.800	-3.745	0.101
18.900	-14.109	0.101
19.000	-4.383	0.101
19.100	-12.256	0.101
19.200	-33.192	0.101
19.300	-20.171	0.101
19.400	-14.033	0.101
19.500	-15.858	0.101
19.600	-17.385	0.101
19.700	-18.057	0.101
19.800	-23.364	0.101
19.900	-22.202	0.101
20.000	-15.964	0.101
20.100	-15.731	0.101
20.200	-20.813	0.101
20.300	-8.449	0.101
20.400	-17.772	0.101
20.500	-23.336	0.101
20.600	-17.363	0.101
20.700	-22.948	0.101
20.800	-22.462	0.101
20.900	-13.042	0.101
21.000	-15.580	0.101
21.100	-15.613	0.101
21.200	-23.496	0.101
21.300	-14.287	0.101
21.400	-10.096	0.101
21.500	-12.789	0.101
21.600	-19.455	0.101
21.700	-11.528	0.101
21.800	-19.666	0.101
21.900	-24.893	0.101
22.000	-21.134	0.101
22.100	-14.834	0.101
22.200	-17.178	0.101
22.300	-17.326	0.101
22.400	-20.173	0.101
22.500	-13.621	0.101
22.600	-11.695	0.101
22.700	-26.289	0.101
22.800	-39.623	0.101
22.900	-21.787	0.101
23.000	-16.001	0.101
23.100	-15.443	0.101
23.200	-27.568	0.101
23.300	-26.467	0.101
23.400	-12.429	0.101
23.500	-9.517	0.101
23.600	-12.733	0.101
23.700	-23.164	0.101
23.800	-19.550	0.101
23.900	-9.050	0.101
24.000	-10.946	0.101
24.100	-18.217	0.101
24.200	-14.852	0.101
24.300	-14.976	0.101
24.400	-22.314	0.101
24.500	-17.542	0.101
24.600	-20.339	0.101
24.700	-24.934	0.101
24.800	-28.546	0.101
24.900	-24.772	0.101
25.000	-19.535	0.101
25.100	-14.924	0.101
25.200	-19.122	0.101
25.300	-20.308	0.101
25.400	-22.987	0.101
25.500	-18.384	0.101
25.600	-19.065	0.101
25.700	-16.493	0.101
25.800	-20.953	0.101
25.900	-18.681	0.101
26.000	-3.927	0.101
26.100	-17.010	0.101
26.200	-20.353	0.101
26.300	-27.624	0.101
26.400	-13.463	0.101
26.500	-6.712	0.101
26.600	-16.231	0.101
26.700	-18.739	0.101
26.800	-27.741	0.101
26.900	-21.520	0.101
27.000	-21.753	0.101
27.100	-25.022	0.101
27.200	-22.324	0.101
27.300	-20.229	0.101
27.400	-14.152	0.101
27.500	-9.889	0.101
27.600	-15.836	0.101
27.700	-26.847	0.101
27.800	-17.564	0.101
27.900	-23.613	0.101
28.000	-16.392	0.101
28.100	-4.556	0.101
28.200	-23.787	0.101
28.300	-12.090	0.101
28.400	-21.733	0.101
28.500	-14.237	0.101
28.600	-10.390	0.101
28.700	-24.819	0.101
28.800	-19.173	0.101
28.900	-24.022	0.101
29.000	-5.516	0.101
29.100	-23.314	0.101
29.200	-25.665	0.101
29.300	-15.817	0.101
29.400	-8.714	0.101
29.500	-10.385	0.101
29.600	-17.477	0.101
29.700	-19.180	0.101
29.800	-24.250	0.101
29.900	-16.162	0.101
30.000	-13.916	0.101
30.100	-9.445	0.101
30.200	-10.200	0.101
30.300	-14.646	0.101
30.400	-18.886	0.101
30.500	-3.067	0.101
30.600	0.282	0.101
30.700	-0.913	0.101
30.800	-4.956	0.101
30.900	5.452	0.101
31.000	-2.417	0.101
31.100	-1.193	0.101
31.200	3.110	0.101
31.300	5.837	0.101
31.400	2.756	0.101
31.500	9.418	0.101
31.600	11.020	0.101
31.700	12.743	0.101
31.800	16.343	0.101
31.900	25.803	0.101
32.000	24.503	0.101
32.100	26.335	0.101
32.200	16.621	0.101
32.300	28.428	0.101
32.400	16.767	0.101
32.500	27.470	0.101
32.600	20.020	0.101
32.700	15.561	0.101
32.800	28.617	0.101
32.900	41.142	0.101
33.000	33.050	0.101
33.100	38.146	0.101
33.200	30.611	0.101
33.300	46.731	0.101
33.400	39.447	0.101
33.500	33.876	0.101
33.600	37.206	0.101
33.700	26.270	0.101
33.800	35.433	0.101
33.900	27.503	0.101
34.000	38.142	0.101
34.100	40.229	0.101
34.200	40.442	0.101
34.300	35.667	0.101
34.400	28.883	0.101
34.500	34.707	0.101
34.600	37.131	0.101
34.700	38.418	0.101
34.800	42.458	0.101
34.900	43.177	0.101
35.000	52.386	0.101
35.100	54.422	0.101
35.200	43.038	0.101
35.300	51.993	0.101
35.400	45.537	0.101
35.500	62.410	0.101
35.600	57.321	0.101
35.700	53.545	0.101
35.800	53.046	0.101
35.900	48.740	0.101
36.000	61.515	0.101
36.100	56.935	0.101
36.200	61.274	0.101
36.300	58.701	0.101
36.400	54.958	0.101
36.500	68.924	0.101
36.600	76.651	0.101
36.700	75.218	0.101
36.800	64.235	0.101
36.900	65.658	0.101
37.000	71.434	0.101
37.100	75.794	0.101
37.200	77.107	0.101
37.300	78.942	0.101
37.400	75.167	0.101
37.500	72.488	0.101
37.600	69.991	0.101
37.700	81.595	0.101
37.800	90.317	0.101
37.900	84.502	0.101
38.000	89.913	0.101
38.100	86.878	0.101
38.200	104.244	0.101
38.300	86.697	0.101
38.400	90.545	0.101
38.500	86.378	0.101
38.600	84.565	0.101
38.700	83.274	0.101
38.800	92.079	0.101
38.900	100.334	0.101
39.000	99.929	0.101
39.100	104.036	0.101
39.200	102.406	0.101
39.300	103.631	0.101
39.400	108.168	0.101
39.500	100.074	0.101
39.600	106.223	0.101
39.700	118.105	0.101
39.800	110.290	0.101
39.900	107.910	0.101
40.000	122.778	0.101
40.100	102.295	0.101
40.200	109.996	0.101
40.300	119.649	0.101
40.400	112.676	0.101
40.500	124.601	0.101
40.600	125.238	0.101
40.700	120.207	0.101
40.800	123.288	0.101
40.900	121.904	0.101
41.000	116.657	0.101
41.100	105.037	0.101
41.200	113.325	0.101
41.300	138.181	0.101
41.400	127.650	0.101
41.500	135.008	0.101
41.600	132.302	0.101
41.700	115.668	0.101
41.800	121.857	0.101
41.900	113.682	0.101
42.000	123.189	0.101
42.100	116.651	0.101
42.200	124.455	0.101
42.300	118.436	0.101
42.400	128.192	0.101
42.500	121.240	0.101
42.600	131.618	0.101
42.700	126.689	0.101
42.800	122.772	0.101
42.900	113.557	0.101
43.000	124.833	0.101
43.100	123.453	0.101
43.200	129.333	0.101
43.300	119.332	0.101
43.400	131.322	0.101
43.500	124.658	0.101
43.600	125.109	0.101
43.700	124.167	0.101
43.800	120.502	0.101
43.900	123.279	0.101
44.000	121.119	0.101
44.100	118.094	0.101
44.200	114.516	0.101
44.300	123.517	0.101
44.400	125.102	0.101
44.500	118.821	0.101
44.600	117.510	0.101
44.700	109.346	0.101
44.800	115.321	0.101
44.900	112.509	0.101
45.000	118.849	0.101
45.100	115.360	0.101
45.200	113.605	0.101
45.300	118.988	0.101
45.400	107.026	0.101
45.500	116.142	0.101
45.600	119.539	0.101
45.700	115.513	0.101
45.800	106.634	0.101
45.900	103.712	0.101
46.000	103.169	0.101
46.100	109.553	0.101
46.200	109.644	0.101
46.300	107.331	0.101
46.400	113.530	0.101
46.500	110.842	0.101
46.600	112.602	0.101
46.700	100.443	0.101
46.800	109.332	0.101
46.900	108.278	0.101
47.000	106.860	0.101
47.100	103.660	0.101
