time /s	I /nA	E /V
0.100	-68.939	0.101
0.200	-49.050	0.101
0.300	-57.091	0.101
0.400	-47.879	0.101
0.500	-57.275	0.101
0.600	-52.615	0.101
0.700	-60.242	0.101
0.800	-61.232	0.101
0.900	-62.767	0.101
1.000	-49.527	0.101
1.100	-52.730	0.101
1.200	-55.043	0.101
1.300	-46.339	0.101
1.400	-60.522	0.101
1.500	-62.277	0.101
1.600	-47.733	0.101
1.700	-58.110	0.101
1.800	-62.187	0.101
1.900	-51.083	0.101
2.000	-51.647	0.101
2.100	-50.553	0.101
2.200	-54.221	0.101
2.300	-50.910	0.101
2.400	-47.531	0.101
2.500	-58.190	0.101
2.600	-43.461	0.101
2.700	-53.792	0.101
2.800	-37.972	0.101
2.900	-58.110	0.101
3.000	-53.142	0.101
3.100	-52.661	0.101
3.200	-45.253	0.101
3.300	-49.696	0.101
3.400	-50.707	0.101
3.500	-43.793	0.101
3.600	-52.478	0.101
3.700	-47.886	0.101
3.800	-57.381	0.101
3.900	-48.815	0.101
4.000	-55.562	0.101
4.100	-47.502	0.101
4.200	-57.725	0.101
4.300	-48.500	0.101
4.400	-55.416	0.101
4.500	-52.461	0.101
4.600	-50.691	0.101
4.700	-58.388	0.100
4.800	-58.066	0.101
4.900	-51.930	0.101
5.000	-51.816	0.101
5.100	-43.415	0.101
5.200	-49.241	0.101
5.300	-49.050	0.101
5.400	-52.972	0.101
5.500	-53.837	0.101
5.600	-41.955	0.101
5.700	-55.449	0.101
5.800	-53.985	0.101
5.900	-57.892	0.101
6.000	-55.909	0.101
6.100	-55.589	0.101
6.200	-54.777	0.101
6.300	-54.621	0.101
6.400	-45.853	0.101
6.500	-49.286	0.101
6.600	-49.387	0.101
6.700	-52.279	0.101
6.800	-48.198	0.101
6.900	-44.118	0.101
7.000	-50.806	0.101
7.100	-51.744	0.101
7.200	-54.953	0.100
7.300	-50.269	0.101
7.400	-45.732	0.101
7.500	-55.045	0.101
7.600	-47.765	0.101
7.700	-50.759	0.101
7.800	-42.533	0.101
7.900	-57.290	0.101
8.000	-50.787	0.101
8.100	-52.533	0.101
8.200	-44.886	0.101
8.300	-45.136	0.101
8.400	-51.631	0.100
8.500	-60.206	0.101
8.600	-43.874	0.101
8.700	-54.960	0.101
8.800	-45.634	0.101
8.900	-42.815	0.101
9.000	-52.674	0.101
9.100	-50.662	0.101
9.200	-42.924	0.101
9.300	-54.471	0.101
9.400	-58.866	0.101
9.500	-62.014	0.101
9.600	-52.707	0.101
9.700	-55.710	0.101
9.800	-51.292	0.101
9.900	-54.174	0.101
10.000	-47.132	0.101
10.100	-42.160	0.101
10.200	-42.386	0.101
10.300	-47.234	0.101
10.400	-52.535	0.101
10.500	-51.885	0.101
10.600	-45.843	0.101
10.700	-39.545	0.101
10.800	-53.439	0.101
10.900	-50.090	0.101
11.000	-55.284	0.101
